trial_id,learning_rate,gamma,batch_size,memory_size,target_update,eps_start,eps_end,eps_decay,initial_exploration,avg_score,final_scores,total_episodes,max_episodes,early_stopped,stop_reason,device_used,success,seed
15,0.0001739415359291646,0.9725270996394749,32,44793,1000,0.9756926292427206,0.01431939295206001,0.9969883336743003,1821,9.6,"[10, 8, 10, 10, 10]",200,200,False,completed,cuda,True,40672
3,0.0023451642369334896,0.9221086837242014,16,84053,500,0.914885248343022,0.04444798420622818,0.9983222405083595,1538,11.3,"[8, 9, 9, 10, 14]",200,200,False,completed,cuda,True,25520
17,0.0004573737485423813,0.9745468024019389,64,37249,100,0.9976154267052451,0.07031633136977114,0.9904620639872082,1415,9.9,"[10, 9, 9, 10, 9]",200,200,False,completed,cuda,True,38540
6,0.0006189491798776556,0.9704785139126038,32,74510,100,0.9505868395739072,0.0585661830371508,0.9924432478461426,1031,10.2,"[11, 10, 10, 12, 9]",200,200,False,completed,cuda,True,27640
1,0.0034693748898782157,0.9653687999901538,128,74658,500,0.948471621835548,0.09966426365379481,0.9986874891653058,1132,10.0,"[12, 10, 9, 9, 9]",200,200,False,completed,cuda,True,28372
11,0.001873414088710411,0.9446904506824961,16,90726,500,0.9136438100780253,0.019802804262529592,0.9921437971158702,1655,13.7,"[15, 10, 36, 9, 9]",200,200,False,completed,cuda,True,13996
9,0.0006027956414812006,0.9390107896751043,32,77550,500,0.9167859367471226,0.019784939606486265,0.9948963318930619,762,9.1,"[8, 10, 8, 9, 10]",200,200,False,completed,cuda,True,34808
2,0.0006080294164847006,0.9167943097541602,128,58062,1000,0.9884691414580387,0.04098627402735256,0.9934662616307136,575,9.5,"[9, 10, 10, 11, 8]",200,200,False,completed,cuda,True,27624
13,0.0012251271878422807,0.9833388795515703,32,81627,100,0.9987225900622718,0.06889006575931483,0.9949399899876639,1070,10.9,"[11, 11, 9, 8, 9]",200,200,False,completed,cuda,True,23112
8,0.00021161932748567478,0.902073047926931,32,15013,100,0.916647323002565,0.07781521509247366,0.9965020269670929,706,10.4,"[10, 9, 12, 10, 10]",200,200,False,completed,cuda,True,34500
0,0.007035786870459827,0.9555836207851572,32,78480,500,0.9943271450944696,0.059164904947677635,0.9961521565785909,988,28.1,"[46, 12, 10, 11, 27]",200,200,False,completed,cuda,True,24288
14,0.00012620310333768682,0.9589559243462815,64,14395,100,0.916422767312976,0.016284164196218323,0.9936857139033566,500,9.2,"[10, 9, 9, 9, 9]",200,200,False,completed,cuda,True,39492
21,0.0003078026661602523,0.9711763367517496,64,68815,500,0.9477661337205963,0.0998698147600693,0.996081172936723,1795,9.9,"[9, 13, 10, 9, 10]",200,200,False,completed,cuda,True,42540
25,0.002638249776364443,0.9203085823793339,32,13592,500,0.984794916846528,0.07914642263952781,0.9963533499516033,1592,10.0,"[12, 10, 9, 9, 10]",200,200,False,completed,cuda,True,50808
10,0.00013661498795918467,0.9409239443549229,128,83885,500,0.9577595742316798,0.01582346966728878,0.9986161980570026,1472,9.2,"[10, 8, 9, 10, 10]",200,200,False,completed,cuda,True,21748
19,0.0020228682140044766,0.9307585529816055,64,13709,100,0.9968977880496191,0.0870578463015229,0.9953588223907877,1426,39.6,"[38, 33, 26, 44, 69]",200,200,False,completed,cuda,True,44672
22,0.0005999648416170852,0.9503554652514183,128,85891,500,0.9629165038039937,0.06794248562490356,0.993878009508756,1132,9.7,"[10, 9, 10, 9, 10]",200,200,False,completed,cuda,True,43640
26,0.00012696737983319289,0.9802610645849597,128,91890,100,0.9108975238144914,0.017598532133094605,0.99254119581327,1435,9.6,"[8, 10, 10, 10, 10]",200,200,False,completed,cuda,True,51624
27,0.0005012820471090011,0.9406236083827552,128,22761,1000,0.9183198741581566,0.039871914691935614,0.9933792231526825,1111,9.7,"[10, 9, 10, 9, 8]",200,200,False,completed,cuda,True,37112
23,0.0015614423229251032,0.9384616523417498,64,42319,100,0.9159678316309134,0.03631242854287044,0.9952763694031316,1239,30.5,"[12, 30, 44, 42, 15]",200,200,False,completed,cuda,True,50372
29,0.0002106022456484935,0.9854747838526386,64,21709,500,0.9047518844792101,0.05548259544547369,0.9927259402211445,1067,9.7,"[10, 10, 9, 10, 9]",200,200,False,completed,cuda,True,53288
24,0.0013072353133013585,0.9108501062446526,16,17775,500,0.936528452805928,0.07422783185559888,0.9958041755162823,628,14.4,"[22, 9, 28, 13, 11]",200,200,False,completed,cuda,True,26996
33,0.00010912428651909561,0.9968495123308827,64,18639,500,0.9209610956049,0.049212235108261566,0.9945800231413482,1604,9.6,"[9, 10, 8, 10, 10]",200,200,False,completed,cuda,True,44748
30,0.0005789847169105518,0.9356060682796522,128,65009,500,0.9619076058757152,0.038817545296000296,0.993983834818321,816,10.5,"[9, 10, 11, 11, 12]",200,200,False,completed,cuda,True,55492
32,0.00807005980090119,0.9114625065161661,32,20117,500,0.9801501186010566,0.03501584086369868,0.9941973227628881,1098,10.8,"[9, 8, 10, 10, 9]",200,200,False,completed,cuda,True,57808
34,0.0011110523191087823,0.9061251564655601,16,20535,1000,0.9803032587328673,0.06863178950666535,0.9957979303924279,947,9.7,"[8, 10, 9, 10, 10]",200,200,False,completed,cuda,True,59672
36,0.0004584075461502874,0.9599510643865902,32,11465,100,0.9237812542983892,0.09706134307110761,0.9939863508562476,1056,11.3,"[9, 11, 13, 11, 9]",200,200,False,completed,cuda,True,61624
18,0.009213519441074005,0.9728466579087542,32,77097,1000,0.9526593318011817,0.07015192021254882,0.9979479970969055,557,35.2,"[13, 29, 48, 60, 28]",200,200,False,completed,cuda,True,43620
39,0.005262501073232565,0.9395497243533787,128,85285,500,0.9545026214807969,0.0632661548089854,0.9916959967322453,1471,10.7,"[9, 11, 12, 10, 15]",200,200,False,completed,cuda,True,63288
35,0.00047008375122255974,0.9597360814397775,16,50931,100,0.9479278950685729,0.0836565513312981,0.9936066429645525,861,9.8,"[10, 10, 8, 10, 9]",200,200,False,completed,cuda,True,56640
40,0.003876768244474053,0.9761430341701436,32,44879,1000,0.9975199276634497,0.045156182963087696,0.9950568602163087,1650,15.1,"[18, 24, 8, 9, 17]",200,200,False,completed,cuda,True,42996
41,0.0008148947775634353,0.957837078781621,64,72364,100,0.9766875848822968,0.030879233580225506,0.9910664885731333,1390,9.5,"[9, 9, 9, 12, 10]",200,200,False,completed,cuda,True,52748
31,0.0005567615449251052,0.9202386739812358,16,22736,100,0.9943102059098872,0.07837104071151475,0.9956628895430926,1656,28.8,"[24, 21, 40, 27, 22]",200,200,False,completed,cuda,True,52540
50,0.0028831415573764723,0.9026616963520772,32,99273,100,0.9822643453738886,0.08747636262177089,0.9933143247217965,1875,10.4,"[10, 12, 9, 11, 10]",200,200,False,completed,cuda,True,61748
38,0.005519569765583809,0.9868025625107487,16,72557,500,0.9825152470135711,0.068648337051585,0.9974130982370334,1086,20.3,"[26, 10, 21, 25, 9]",200,200,False,completed,cuda,True,65372
42,0.005275528868147468,0.9976686573927211,64,43887,1000,0.9130527425545267,0.04474933004501981,0.9932859314037026,1441,49.7,"[56, 37, 147, 59, 41]",200,200,False,completed,cuda,True,67492
48,0.0006447475921102634,0.948826641499893,16,19594,1000,0.998628221369468,0.0359142577343361,0.9988879492890665,1650,9.4,"[9, 11, 9, 13, 8]",200,200,False,completed,cuda,True,69640
44,0.004451462964689477,0.9760305384355915,32,47210,500,0.9626093889529711,0.029296882264890613,0.9965176787559595,1456,9.2,"[9, 11, 8, 9, 8]",200,200,False,completed,cuda,True,69672
47,0.0023876165054745155,0.9785363087371869,128,90839,500,0.9530226562883289,0.09114252763688009,0.9975458067127666,1204,10.0,"[9, 10, 10, 11, 10]",200,200,False,completed,cuda,True,71288
